timestamp, temp, humi
1555092322.56, 23.136034, 1.538595
1555092323.56, 23.139103, 1.538490
1555092324.57, 23.133833, 1.538462
1555092325.57, 23.133553, 1.538469
1555092326.57, 23.141361, 1.539641
1555092327.58, 23.133121, 1.540032
1555092328.58, 23.134548, 1.540621
1555092329.58, 23.132910, 1.538670
1555092330.58, 23.126844, 1.538121
1555092331.59, 23.132681, 1.538526
1555092332.59, 23.139378, 1.537897
1555092333.59, 23.142513, 1.538080
1555092334.59, 23.127851, 1.539383
1555092335.6, 23.130705, 1.539256
1555092336.6, 23.139109, 1.539264
1555092337.6, 23.133926, 1.538878
1555092338.61, 23.122681, 1.538489
1555092339.61, 23.125166, 1.538754
1555092340.61, 23.132530, 1.538853
1555092341.62, 23.146206, 1.539468
1555092342.62, 23.142754, 1.539356
1555092343.62, 23.141174, 1.538231
1555092344.63, 23.146816, 1.539423
1555092345.63, 23.143974, 1.540667
1555092346.63, 23.135948, 1.539999
1555092347.64, 23.146608, 1.539525
1555092348.64, 23.154854, 1.539199
1555092349.64, 23.152365, 1.539837
1555092350.65, 23.143620, 1.538707
1555092351.65, 23.144121, 1.538981
1555092352.65, 23.147697, 1.539453
1555092353.66, 23.155064, 1.539171
1555092354.66, 23.154091, 1.539251
1555092355.66, 23.155619, 1.538646
1555092356.67, 23.154772, 1.539702
1555092357.67, 23.159044, 1.538817
1555092358.67, 23.165840, 1.538864
1555092359.67, 23.146994, 1.539544
1555092360.68, 23.152754, 1.538363
1555092361.68, 23.145569, 1.539316
1555092362.68, 23.152330, 1.539178
1555092363.69, 23.148394, 1.539117
1555092364.69, 23.158421, 1.538710
1555092365.69, 23.159943, 1.539662
1555092366.69, 23.165411, 1.539625
1555092367.7, 23.146667, 1.539458
1555092368.7, 23.153683, 1.538907
1555092369.7, 23.166542, 1.537826
1555092370.71, 23.156040, 1.539321
1555092371.71, 23.162415, 1.539792
1555092372.71, 23.157005, 1.538638
1555092373.71, 23.145744, 1.537748
1555092374.72, 23.158781, 1.538990
1555092375.72, 23.177134, 1.538847
1555092376.72, 23.180241, 1.537950
1555092377.73, 23.165541, 1.539897
1555092378.73, 23.185373, 1.537966
1555092379.73, 23.170815, 1.539483
1555092380.74, 23.158243, 1.538316
1555092381.74, 23.168810, 1.538413
1555092382.74, 23.175007, 1.538951
1555092383.74, 23.166321, 1.539357
1555092384.75, 23.170658, 1.539202
1555092385.75, 23.158133, 1.538616
1555092386.75, 23.165241, 1.538536
1555092387.76, 23.175341, 1.538952
1555092388.76, 23.179897, 1.538587
1555092389.76, 23.179152, 1.538714
